ceo_names,ceo_names,ceo_pctApprove,ceo_pctDisapprove,company_name,compensation_rating,culture_rating,overallRating,ratingDescription,recommendToFriendRating,seniorLeadershipRating,workLifeBalanceRating,Growth,Annual Rainfall,Annual Snowfall,Avg_Commute_work,HQ_City,HQ_State,population,crime_rate_per_1000,diversity
Kirk S. Hachigian,Kirk S. Hachigian,58,42,Cooper Industries,3.3,3,2.9,OK,43,2.6,3,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Kim Yost,Kim Yost,76,24,Art Van Furniture,3.1,3.2,3.3,OK,54,2.8,2.3,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Kim R. Cocklin,Kim R. Cocklin,90,10,Atmos Energy,3.9,3.9,3.7,Satisfied,70,3.5,3.8,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Kevin Washington,Kevin Washington,85,15,YMCA,2.6,4,3.6,Satisfied,69,3.1,3.6,,41.7,25.9,,Indianapolis,Indiana,866351,109.7827372,64.92
Kevin Taweel,Kevin Taweel,77,23,Asurion,3.7,3.4,3.4,OK,64,3.1,3.2,,54.2,6.3,21.7,Nashville,Tennessee,668685,85.0998294,68.23
Kevin Sayer,Kevin Sayer,80,20,Dexcom,3.6,3.6,3.6,Satisfied,71,3.3,3.4,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Kevin Rose,Kevin Rose,100,0,Digg,4.5,4.6,4.1,Very Satisfied,79,3.3,4.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Kevin R. McDonnell,Kevin R. McDonnell,93,7,Skyline Chili,2.6,3.6,3.7,Satisfied,74,3,3.2,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Kevin Parker,Kevin Parker,81,19,LucasArts,3.3,3.8,3.8,Satisfied,57,2.5,3.5,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Kevin P. Clark,Kevin P. Clark,70,30,Delphi,3.3,3.3,3.3,OK,61,2.9,3.4,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Kevin Keyes,Kevin Keyes,0,100,Annaly Capital Management,3.9,2.4,3.1,OK,31,2.4,3.8,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Kevin Johnson,Kevin Johnson,83,17,Starbucks,3.9,4,3.8,Satisfied,77,3.2,3.5,-0.0431,38.4,5,20.1,Seattle,Washington,700313,116.0652774,65.65
Kevin Greiner,Kevin Greiner,96,4,Gas South,4.2,4.2,4.1,Very Satisfied,92,4.3,4.2,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Kevin Buchi,Kevin Buchi,90,10,Cephalon,4.2,3.6,3.8,Satisfied,74,2.9,3.9,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Kevin Brown,Kevin Brown,76,24,Piedmont Healthcare,3.3,3.4,3.4,OK,71,2.8,3.2,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Kevin B. Mansell,Kevin B. Mansell,76,24,Kohl's,3,3.6,3.4,OK,63,3.1,3.4,-0.163,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Kerry Romesburg,Kerry Romesburg,61,39,Jacksonville University,3.1,3.9,3.8,Satisfied,67,3.2,3.7,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Kent J. Thiry,Kent J. Thiry,78,22,DaVita,3,3.6,3.3,OK,62,2.9,3,-0.2228,15.9,19.1,28.8,Denver,Colorado,699259,78.48871641,69.21
Kenneth Ziegler,Kenneth Ziegler,100,0,Logicworks,3.7,4.7,4.4,Very Satisfied,94,4.2,4.1,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Kenneth R. Meyers,Kenneth R. Meyers,79,21,U.S. Cellular,4,3.6,3.5,Satisfied,60,3,3.1,,39.2,24.6,,Chicago,Illinois,2725153,74.90659418,70.57
Kenneth Oaks,Kenneth Oaks,86,14,Total Quality Logistics,3.7,4.1,3.9,Satisfied,71,3.9,2.9,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Kenneth D. Tuchman,Kenneth D. Tuchman,80,20,TeleTech,3.1,3.5,3.5,Satisfied,68,3.2,3.4,,15.9,19.1,,Englewood,Colorado,#N/A,#N/A,#N/A
Kenneth D. Buck,Kenneth D. Buck,2,98,Wyman-Gordon,3.3,1.3,1.6,Dissatisfied,11,1.4,1.5,,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Kenneth C. Frazier,Kenneth C. Frazier,82,18,Merck,3.6,3.5,3.6,Satisfied,72,3,3.5,-0.97,47.1,16.5,,Kenilworth,New Jersey,8229,45.0639454,#N/A
Kenneth A. Vecchione,Kenneth A. Vecchione,43,57,Encore Capital Group,2.7,3.1,2.9,OK,41,2.4,3.3,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Ken Sasaki,Ken Sasaki,61,39,Viz Media,2.4,3.4,3.1,OK,43,2.6,3.4,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Ken Fry,Ken Fry,100,0,Genesee Scientific,4.4,4.8,4.8,Very Satisfied,100,4.8,4.3,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Ken Chenault,Ken Chenault,87,13,American Express,3.7,3.9,3.8,Satisfied,77,3.3,4,0.2243,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Ken Allen,Ken Allen,91,9,DHL Express,3.4,3.6,3.6,Satisfied,72,3.3,3.2,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Kelly S. King,Kelly S. King,85,15,BB&T,3.6,3.6,3.4,OK,63,3.1,3.5,9.3,48.9,12.5,,Louisville,Kentucky,#N/A,#N/A,65.21
Kelcy L. Warren,Kelcy L. Warren,88,12,Energy Transfer Partners,3.8,3.7,3.8,Satisfied,79,3.3,3.2,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Keith Wolken,Keith Wolken,100,0,SMS Holdings,2.6,4.1,3.8,Satisfied,82,3.5,3.3,,54.2,6.3,21.7,Nashville,Tennessee,668685,85.0998294,68.23
Keith Crain,Keith Crain,73,27,Crain Communications,3.3,3.6,3.2,OK,57,2.9,3.6,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Keith Allman,Keith Allman,69,31,Masco,3.3,3.4,3.4,OK,64,3.2,3.6,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Kazuo Hirai,Kazuo Hirai,92,8,Sony,3.4,3.6,3.7,Satisfied,74,3.1,3.5,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Katrina Lake,Katrina Lake,92,8,Stitch Fix,3.3,3.9,3.7,Satisfied,72,3.5,4,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Kathryn McCarthy,Kathryn McCarthy,37,63,ThinkGeek,2.7,3.4,2.9,OK,39,2.7,3.2,,44.3,10.3,25.1,Fairfax,Virginia,24173,36.09716971,#N/A
Kathleen M. Mazzarella,Kathleen M. Mazzarella,81,19,Graybar Electric,3.6,3.4,3.5,Satisfied,64,3.1,3.4,,42.2,17,18.1,Saint Louis,Missouri,#N/A,#N/A,#N/A
Kathleen Kennedy,Kathleen Kennedy,98,2,Lucasfilm,3.3,3.7,3.5,Satisfied,71,3,3.6,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Katherine Maher,Katherine Maher,91,9,Wikimedia Foundation,3.6,4.3,3.7,Satisfied,72,3.4,4.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Karl McDonnell,Karl McDonnell,51,49,Strayer University,3,2.7,2.9,OK,49,2.5,2.8,,44.3,10.3,28.7,Herndon,Virginia,24806,34.17843598,#N/A
Karen W. Katz,Karen W. Katz,69,31,Neiman Marcus,3.2,3.1,3.2,OK,51,2.8,3.1,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Karen Ignagni,Karen Ignagni,40,60,EmblemHealth,3,2.5,2.6,OK,23,2.2,3.1,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Kanaan Jemili,Kanaan Jemili,100,0,DivX,3.5,4,3.2,OK,50,2.2,4,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
K. Richard Lane,K. Richard Lane,19,81,Tree of Life,3.3,3.1,2.7,OK,40,2.6,2.9,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Justin Arch,Justin Arch,0,0,Blistex,3.3,2.5,2.5,OK,34,2.2,2.2,,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
Jude Bricker,Jude Bricker,75,25,Sun Country Airlines,2.6,2.8,2.8,OK,39,2.6,3,,27.3,54,0,Eagan,Minnesota,66698,35.43589483,#N/A
Juan Villar-Mir de Fuentes,Juan Villar-Mir de Fuentes,60,40,OHL,3.4,3.2,3.3,OK,65,2.8,3.1,,54.2,6.3,26.6,Brentwood,Tennessee,42739,19.62488059,#N/A
Joyce Jenereaux,Joyce Jenereaux,56,44,Detroit Media Partnership,3.2,2.7,2.6,OK,25,1.9,2.9,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Josh Silverman,Josh Silverman,54,46,Etsy,3.8,3.8,3.5,Satisfied,62,2.8,4.3,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Josh Schulman,Josh Schulman,45,55,Bergdorf Goodman,3,2.6,2.7,OK,40,2.2,2.3,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Joseph R. Swedish,Joseph R. Swedish,75,25,Anthem,3.6,3.4,3.4,OK,64,2.9,3.3,0.3127,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Joseph P. Landy and Charles R. Kaye,Joseph P. Landy and Charles R. Kaye,100,0,Warburg Pincus,4.8,3.4,4.1,Very Satisfied,62,3.5,3.5,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Joseph Leccese,Joseph Leccese,99,1,Proskauer Rose,3.9,3.3,3.5,Satisfied,58,2.9,2.9,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Joseph L. Hooley,Joseph L. Hooley,74,26,State Street,2.7,3.1,3.1,OK,53,2.8,3.3,0.2589,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Joseph Eazor,Joseph Eazor,80,20,EarthLink,3.5,3.4,3.4,OK,57,3.1,3.8,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Joseph C. Shenker,Joseph C. Shenker,61,39,Sullivan & Cromwell,4.1,3,3.4,OK,66,3,2.9,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Joseph (Joe) Jimenez Jr.,Joseph (Joe) Jimenez Jr.,88,12,Novartis,3.7,3.5,3.7,Satisfied,75,3.1,3.5,,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Jose Luis Laparte,Jose Luis Laparte,100,0,PriceSmart,3.1,3.5,3.3,OK,65,2.7,3.6,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Jos’© Barella,Jos’© Barella,49,51,Merial,3.9,3.5,3.7,Satisfied,66,3.2,3.5,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Jonathan S. Thomas,Jonathan S. Thomas,61,39,American Century Investments,3.8,3.7,3.6,Satisfied,61,3,3.8,,42.2,17,0,Kansas City,Missouri,478364,103.9359789,65.35
Jonathan Lavine and John Connaughton,Jonathan Lavine and John Connaughton,96,4,Bain Capital,4.3,4,4.3,Very Satisfied,91,3.9,3.3,,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Jonathan Adkisson,Jonathan Adkisson,72,28,Esurance,3,3,2.8,OK,41,2.6,3.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Jon Singer,Jon Singer,100,0,Singer22,3.1,3,3.3,OK,55,3,3.6,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Jon Roskill,Jon Roskill,99,1,Acumatica,4.3,4,4.5,Very Satisfied,91,4.3,4.2,,38.4,5,31.8,Kirkland,Washington,88627,46.66807095,#N/A
Jon Oringer,Jon Oringer,49,51,Shutterstock,3.6,3.1,2.8,OK,44,2.9,3.2,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Jon Corzine,Jon Corzine,4,96,MF Global,3.6,3,3.1,OK,15,2.5,3.3,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Johnny Rivera,Johnny Rivera,100,0,Hash House a go go,2.5,2.8,3.4,OK,48,2.4,3,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
John W. Eaves,John W. Eaves,70,30,Arch Coal,3.8,3.5,3.3,OK,40,2.8,3.5,,42.2,17,18.1,Saint Louis,Missouri,#N/A,#N/A,#N/A
John T. Standley,John T. Standley,52,48,Rite Aid,2.7,3,3,OK,45,2.6,2.9,,42.9,28.2,13.5,Harrisburg,Pennsylvania,48996,67.07182469,66.4
John T. Gremp,John T. Gremp,75,25,FMC Technologies,3.5,3.3,3.2,OK,56,2.6,3.3,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
John S. Watson,John S. Watson,82,18,Chevron,4,3.9,3.9,Satisfied,77,3.2,4,0.0647,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
John Robinson,John Robinson,69,31,Aaron's,3.1,2.9,3,OK,44,2.6,2.3,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
John Richels,John Richels,87,13,Devon Energy,4.5,3.9,3.9,Satisfied,79,3.5,4.1,-0.3183,36.5,7.8,13.2,Oklahoma City,Oklahoma,641681,86.00019059,65.01
John P. Hayes,John P. Hayes,67,33,HomeVestors of America,2.2,3,2.4,Dissatisfied,25,2.9,3.2,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
John Nickel,John Nickel,100,0,Switch,3.7,3.6,3.7,Satisfied,62,3.5,3.6,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
John Morikis,John Morikis,98,2,Valspar,3.6,3.1,3.2,OK,54,2.8,3.2,,27.3,54,0,Minneapolis,Minnesota,416751,95.78049056,68.13
John Martin,John Martin,81,19,Turner Broadcasting,3.7,3.6,3.6,Satisfied,73,3.1,3.8,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
John Marshall,John Marshall,75,25,AirWatch,3.8,3.3,3.4,OK,63,3,3.6,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
John Mackey,John Mackey,68,32,Whole Foods Market,3.5,3.7,3.5,Satisfied,66,3,3.2,0.2599,47.1,16.5,29.7,Princeton,New Jersey,29660,16.78094602,#N/A
John Legere,John Legere,95,5,T-Mobile,4.1,4,3.9,Satisfied,81,3.4,3.6,,38.4,5,21,Bellevue,Washington,142238,66.62162663,66.82
John L. Walsh,John L. Walsh,82,18,UGI,3.2,4,3.6,Satisfied,66,3.2,4,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
John L. Flannery,John L. Flannery,81,19,GE,3.5,3.7,3.7,Satisfied,74,3.2,3.5,,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
John Josephson,John Josephson,0,0,SESAC,3.1,3.5,3.6,Satisfied,52,3.5,4.3,,54.2,6.3,21.7,Nashville,Tennessee,668685,85.0998294,68.23
John J. Soroko,John J. Soroko,89,11,Duane Morris,3.8,4,4.1,Very Satisfied,77,3.7,4,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
John Idol,John Idol,80,20,Michael Kors,3.2,3.2,3.4,OK,62,2.8,3.1,-0.0917,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
John Hendrickson,John Hendrickson,84,16,Perrigo,3.8,3.3,3.6,Satisfied,62,2.9,3.7,-0.1207,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
John Haley,John Haley,78,22,Willis Towers Watson,3.1,3.4,3.4,OK,63,3,3.3,0.1855,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
John H. Schnatter,John H. Schnatter,58,42,Papa John's,2.5,3.2,3.2,OK,54,2.9,3,,42.2,17,,Saint Louis,Missouri,#N/A,#N/A,#N/A
John H. Hammergren,John H. Hammergren,74,26,McKesson,3.5,3.3,3.4,OK,60,2.9,3.4,-0.3017,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
John Gainor,John Gainor,79,21,Dairy Queen,2.3,3.2,3.4,OK,57,3,3.4,,27.3,54,,edina,Minnesota,50577,38.23875404,#N/A
John G. Russell,John G. Russell,73,27,Consumers Energy,3.9,3.6,3.5,Satisfied,65,3.1,3.5,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
John F. Young,John F. Young,67,33,Energy Future Holdings,4.1,3.5,3.4,OK,63,3,3.6,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
John F. Barrett,John F. Barrett,70,30,Western & Southern Financial Group,3.3,3.1,3.2,OK,55,3.1,3.1,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
John E. Schlifske,John E. Schlifske,88,12,Northwestern Mutual,3.4,4.1,3.8,Satisfied,67,3.9,3.8,,39.2,24.6,19.6,Evanston,Illinois,75716,46.48386745,#N/A
John E. Pooler Jr.,John E. Pooler Jr.,95,5,Pepper Hamilton,3.6,3.4,3.4,OK,66,3.1,3.4,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
John Devaney,John Devaney,85,15,Perkins Coie,4.1,3.8,3.7,Satisfied,73,3.5,3.9,,38.4,5,20.1,Seattle,Washington,700313,116.0652774,65.65
John Cryan,John Cryan,78,22,Deutsche Bank,3.3,3.2,3.3,OK,59,3,3.5,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
John Cheng,John Cheng,86,14,SEGA of America,3.7,3.3,3.7,Satisfied,54,3.3,3.8,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
John Cahill,John Cahill,80,20,La Madeleine,2.8,3.4,3.3,OK,59,2.8,2.8,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
John Brooks,John Brooks,0,0,Penn Virginia,2.9,1.9,2.5,OK,55,1.9,2.7,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
John Aitchison,John Aitchison,100,0,Center for Infectious Disease Research,3.3,3.5,3.6,Satisfied,62,3.2,4,,38.4,5,20.1,Seattle,Washington,700313,116.0652774,65.65
John A. Delaney,John A. Delaney,82,18,University of North Florida,3.4,4.1,3.8,Satisfied,73,3.6,4.3,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Johan Svanstrom,Johan Svanstrom,83,17,Hotels.com,3.9,3.9,3.9,Satisfied,71,3.6,3.9,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Johan Aurik,Johan Aurik,83,17,A.T. Kearney,4.2,4.1,4.2,Very Satisfied,84,3.7,3.2,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Joel Weinshanker,Joel Weinshanker,23,77,Hastings Entertainment,2.7,3.5,3.5,Satisfied,43,2.8,3.4,,28.9,1.5,11.2,Amarillo,Texas,200141,102.261822,#N/A
Joel Waller,Joel Waller,68,32,Christopher & Banks,2.3,2.6,2.6,OK,44,2.3,2.6,,27.3,54,33.7,Plymouth,Minnesota,76996,27.18915232,64.42
Joel Cooperman,Joel Cooperman,85,15,Citrin Cooperman,4.1,4.1,4,Satisfied,81,3.9,4,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Joel Anderson,Joel Anderson,73,27,Five Below,2.4,3.1,3.1,OK,48,2.8,2.8,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Joe Valinho,Joe Valinho,87,13,Tax Defense Network,3.7,4,4.2,Very Satisfied,78,4,4,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Joe Sawasky,Joe Sawasky,50,50,Merit Network,3.6,2.9,3,OK,54,2.9,3.7,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Joe R. Davis,Joe R. Davis,26,74,Consolidated Graphics,2,2,2.4,Dissatisfied,25,2.4,2.5,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Joe Kaeser,Joe Kaeser,91,9,Siemens,3.7,3.7,3.8,Satisfied,80,3.2,3.8,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Joe DePinto,Joe DePinto,54,46,7-Eleven,2.6,2.5,3,OK,40,2.4,2.5,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Joe DeAngelo,Joe DeAngelo,55,45,HD Supply,2.9,2.9,2.9,OK,49,2.4,3.1,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Joc O_—ÈRourke,Joc O_—ÈRourke,60,40,The Mosaic Company,3.4,3.5,3.6,Satisfied,72,3.1,3.4,-0.3363,27.3,54,33.7,Plymouth,Minnesota,76996,27.18915232,64.42
Joanne Shaw,Joanne Shaw,41,59,Coffee Beanery,2,2.7,3,OK,32,2.4,2.8,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Jo’£o Castro Neves,Jo’£o Castro Neves,51,49,Anheuser-Busch,3.6,3.1,3.3,OK,50,2.9,2.9,,42.2,17,18.1,Saint Louis,Missouri,#N/A,#N/A,#N/A
JK Symancyk,JK Symancyk,70,30,Academy Sports + Outdoors,3,3.2,3.3,OK,62,2.8,3.1,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Jiro Makino,Jiro Makino,61,39,Makino,3,3.2,3.3,OK,49,2.4,2.7,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Jim Whitehurst,Jim Whitehurst,95,5,Red Hat,3.6,4.2,4,Satisfied,76,3.4,4,0.2475,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Jim Umpleby,Jim Umpleby,69,31,Caterpillar,3.7,3.3,3.4,OK,58,2.7,3.5,29.85,39.2,24.6,,peoria,Illinois,115099,85.36272372,66.02
Jim Ratcliffe,Jim Ratcliffe,91,9,INEOS,3.9,3.5,3.6,Satisfied,72,3.5,3.6,,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
Jim Mizes,Jim Mizes,70,30,Club One,2.4,2.9,2.9,OK,47,2.4,3.3,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Jim Low,Jim Low,100,0,Enjoy Life Foods,3.7,2.9,3.3,OK,49,2.9,3.6,,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
Jim Lanzone,Jim Lanzone,82,18,CBS Interactive,3.1,3.4,3.3,OK,56,3,3.8,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Jim Hackett,Jim Hackett,95,5,Ford Motor Company,3.8,3.8,3.9,Satisfied,80,3.3,3.8,-0.1448,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Jim Gordon,Jim Gordon,81,19,Gordon Food Service,3.4,3.7,3.4,OK,65,3,3,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Jim Gibbons,Jim Gibbons,49,51,Goodwill,2.7,3,3,OK,47,2.6,3,,47.1,16.5,32,Rockaway,New Jersey,6471,31.49689564,#N/A
Jim Cable,Jim Cable,81,19,Peregrine Semiconductor,3.6,3.5,3.4,OK,61,3,3.6,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Jim Boscov,Jim Boscov,79,21,Boscov's,2.7,3.2,3.3,OK,54,2.8,3.1,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Ji Ham,Ji Ham,0,100,Daybreak Game Company,2.8,2.4,3,OK,58,2.2,2.9,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Jessie J. Knight Jr.,Jessie J. Knight Jr.,64,36,San Diego Gas & Electric,3.9,3.2,3.4,OK,64,3.1,3.8,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Jessica McClintock,Jessica McClintock,75,25,Jessica McClintock,3,3.7,3.1,OK,54,3.1,3,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Jerry M. Kennelly,Jerry M. Kennelly,81,19,Riverbed Technology,3.7,3.7,3.6,Satisfied,65,3.3,4.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Jerry Hum,Jerry Hum,73,27,Touch Of Modern,2.9,3.1,3.3,OK,50,2.8,3.6,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Jerry E. Sheridan,Jerry E. Sheridan,61,39,AmeriGas,2.8,2.6,2.7,OK,40,2.4,2.9,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Jeremy Stoppelman,Jeremy Stoppelman,86,14,Yelp,3.3,3.8,3.2,OK,51,3.3,3.7,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Jeffry D. Frisby,Jeffry D. Frisby,39,61,Triumph Group,3,2.5,2.9,OK,41,2.4,2.8,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Jeffrey S. Edwards,Jeffrey S. Edwards,88,12,Cooper-Standard Automotive,3.4,3.1,3.5,Satisfied,59,2.9,3.1,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Jeffrey F. Harrold,Jeffrey F. Harrold,92,8,Auto-Owners Insurance,3.4,3.7,3.5,Satisfied,73,3.5,3.9,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Jeffrey Brown,Jeffrey Brown,79,21,Ally Financial,3.4,3.2,3.3,OK,58,2.8,3.2,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Jeffery Yabuki,Jeffery Yabuki,71,29,Fiserv,3.1,3.1,3.2,OK,58,2.7,3.3,0.1586,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Jeff Zucker,Jeff Zucker,68,32,CNN,3.5,3.4,3.5,Satisfied,63,2.9,3.1,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Jeff Yass,Jeff Yass,90,10,Susquehanna International Group,3.9,4.1,4,Satisfied,79,3.7,3.7,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Jeff Storey,Jeff Storey,72,28,Level 3 Communications,3.4,3,3.1,OK,49,2.8,3.2,0.115,15.9,19.1,28.8,Denver,Colorado,699259,78.48871641,69.21
Jeff Miller,Jeff Miller,83,17,Halliburton,3.5,3.2,3.4,OK,67,2.8,2.8,-0.0955,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Jeff Jacobson,Jeff Jacobson,52,48,Xerox,2.5,2.6,2.6,OK,35,2.2,2.9,-7.42,50.3,40.5,,Norwalk,Connecticut,88989,35.82129716,69.96
Jeff Goodby & Rich Silverstein,Jeff Goodby & Rich Silverstein,95,5,"Goodby, Silverstein & Partners",3.8,4.1,4,Satisfied,85,3.6,3.4,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Jeff Gennette,Jeff Gennette,69,31,Macy's,2.8,3.2,3.2,OK,53,2.8,3.1,-0.9311,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Jeff Gennette,Jeff Gennette,69,31,Macy's,2.8,3.2,3.2,OK,53,2.8,3.1,-0.9311,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
